ЗАКАЗ № 175;;;;;;;
Отправлен: 2019-07-09 12:46:32;;;;;;;
;;;;;;;
Категория;ID;Артикул;Наименование;Вес;Кол;Цена за вес;Общая цена
;;;;;;;
Мясо;476;10643;Ростбиф говяжий;0.5 кг;1;264.95;264.95
Молоко-сыры;606;49791;Масло сливочное «Деревенское» 72,5%;0.2 кг;1;139.8;139.8
Молоко-сыры;1297;86352;Десерт молочный из рикотты 18% (200 гр);2 шт;1;72;72
Молоко-сыры;605;80109;Кефир (300 гр);1 шт.;2;86.3;172.6
Молоко-сыры;631;82766;Натуральный йогурт (330 мл);1 шт.;1;49;49
Молоко-сыры;3067;92816;Сыр Парреджио Собст.пр-ва;0.3 кг;1;207;207
Молоко-сыры;634;82765;Йогурт ягодный питьевой 3,4% (330 мл);1 шт.;1;49;49
Колбасы-деликатесы;2434;81688;Карбонад натуральный в/к Собств. пр-во;0.3 кг;1;230.1;230.1
Колбасы-деликатесы;2475;83312;Сосиски Молочные Собст пр-во;0.5 кг;1;234;234
Колбасы-деликатесы;2473;82907;Сардельки Мюнхенские Собст пр-во;0.5 кг;1;222.5;222.5
;;;;;;Итого примерно:;1640.95
;;;;;;Итого точно:;
;;;;;;;
КОНТАКТНОЕ ЛИЦО;;;;;;;
Пользователь не найден
